Source: ENTERENCE-1, Destination: ENTERENCE-2, Distance: 500
Source: ENTERENCE-1, Destination: BIKE PARKING, Distance: 100
Source: ENTERENCE-1, Destination: CAR PARKING, Distance: 200
Source: ENTERENCE-1, Destination: AUDITORIUM, Distance: 500
Source: ENTERENCE-1, Destination: LAB BLOCK, Distance: 350
Source: ENTERENCE-1, Destination: MAIN BLOCK, Distance: 450
Source: ENTERENCE-1, Destination: IT BLOCK, Distance: 650
Source: ENTERENCE-1, Destination: LIBRARY BLOCK, Distance: 650
Source: ENTERENCE-1, Destination: MSC BLOCK, Distance: 750
Source: ENTERENCE-1, Destination: TEMPLE, Distance: 900
Source: ENTERENCE-1, Destination: MAIN GROUND, Distance: 1050
Source: ENTERENCE-1, Destination: CANTEEN, Distance: 1300
Source: ENTERENCE-1, Destination: FOOD STREET, Distance: 1400
Source: ENTERENCE-1, Destination: STUDENT STORE, Distance: 1650
Source: ENTERENCE-1, Destination: GIRLS HOSTEL, Distance: 1850
Source: ENTERENCE-1, Destination: BOYS HOSTEL, Distance: 2050
Source: ENTERENCE-2, Destination: ENTERENCE-1, Distance: 500
Source: ENTERENCE-2, Destination: BIKE PARKING, Distance: 600
Source: ENTERENCE-2, Destination: CAR PARKING, Distance: 700
Source: ENTERENCE-2, Destination: AUDITORIUM, Distance: 1000
Source: ENTERENCE-2, Destination: LAB BLOCK, Distance: 850
Source: ENTERENCE-2, Destination: MAIN BLOCK, Distance: 950
Source: ENTERENCE-2, Destination: IT BLOCK, Distance: 1150
Source: ENTERENCE-2, Destination: LIBRARY BLOCK, Distance: 1150
Source: ENTERENCE-2, Destination: MSC BLOCK, Distance: 1250
Source: ENTERENCE-2, Destination: TEMPLE, Distance: 1400
Source: ENTERENCE-2, Destination: MAIN GROUND, Distance: 1550
Source: ENTERENCE-2, Destination: CANTEEN, Distance: 1800
Source: ENTERENCE-2, Destination: FOOD STREET, Distance: 1900
Source: ENTERENCE-2, Destination: STUDENT STORE, Distance: 2150
Source: ENTERENCE-2, Destination: GIRLS HOSTEL, Distance: 2350
Source: ENTERENCE-2, Destination: BOYS HOSTEL, Distance: 2550
Source: BIKE PARKING, Destination: ENTERENCE-1, Distance: 100
Source: BIKE PARKING, Destination: ENTERENCE-2, Distance: 600
Source: BIKE PARKING, Destination: CAR PARKING, Distance: 300
Source: BIKE PARKING, Destination: AUDITORIUM, Distance: 700
Source: BIKE PARKING, Destination: LAB BLOCK, Distance: 450
Source: BIKE PARKING, Destination: MAIN BLOCK, Distance: 550
Source: BIKE PARKING, Destination: IT BLOCK, Distance: 750
Source: BIKE PARKING, Destination: LIBRARY BLOCK, Distance: 750
Source: BIKE PARKING, Destination: MSC BLOCK, Distance: 850
Source: BIKE PARKING, Destination: TEMPLE, Distance: 1000
Source: BIKE PARKING, Destination: MAIN GROUND, Distance: 1150
Source: BIKE PARKING, Destination: CANTEEN, Distance: 1400
Source: BIKE PARKING, Destination: FOOD STREET, Distance: 1500
Source: BIKE PARKING, Destination: STUDENT STORE, Distance: 1750
Source: BIKE PARKING, Destination: GIRLS HOSTEL, Distance: 1950
Source: BIKE PARKING, Destination: BOYS HOSTEL, Distance: 2150
Source: CAR PARKING, Destination: ENTERENCE-1, Distance: 200
Source: CAR PARKING, Destination: ENTERENCE-2, Distance: 700
Source: CAR PARKING, Destination: BIKE PARKING, Distance: 300
Source: CAR PARKING, Destination: AUDITORIUM, Distance: 300
Source: CAR PARKING, Destination: LAB BLOCK, Distance: 550
Source: CAR PARKING, Destination: MAIN BLOCK, Distance: 350
Source: CAR PARKING, Destination: IT BLOCK, Distance: 450
Source: CAR PARKING, Destination: LIBRARY BLOCK, Distance: 450
Source: CAR PARKING, Destination: MSC BLOCK, Distance: 550
Source: CAR PARKING, Destination: TEMPLE, Distance: 700
Source: CAR PARKING, Destination: MAIN GROUND, Distance: 850
Source: CAR PARKING, Destination: CANTEEN, Distance: 1100
Source: CAR PARKING, Destination: FOOD STREET, Distance: 1200
Source: CAR PARKING, Destination: STUDENT STORE, Distance: 1450
Source: CAR PARKING, Destination: GIRLS HOSTEL, Distance: 1650
Source: CAR PARKING, Destination: BOYS HOSTEL, Distance: 1850
Source: AUDITORIUM, Destination: ENTERENCE-1, Distance: 500
Source: AUDITORIUM, Destination: ENTERENCE-2, Distance: 1000
Source: AUDITORIUM, Destination: BIKE PARKING, Distance: 700
Source: AUDITORIUM, Destination: CAR PARKING, Distance: 300
Source: AUDITORIUM, Destination: LAB BLOCK, Distance: 250
